,tac_agent_1_wm,tac_agent_2_wm,tac_agent_0_wm,tac_agent_5,tac_agent_3_wm,tac_agent_8,tac_agent_7,tac_agent_4_wm,tac_agent_6,tac_agent_9
0,321.8495262939849,319.44698152403885,334.650106512694,312.7735644354542,324.39626547268495,315.6275099890463,324.92010895907356,332.23221259627843,315.02097059858886,326.1615922955108
1,331.98864468800645,334.8515835923745,331.40644126885945,328.73695249281883,336.0368483411571,322.6559701862617,325.4868468069686,333.13190157593056,323.66234435607475,319.69654727619013
2,328.7129366367324,321.86861108092427,322.83487148035675,323.06307384191183,330.13397352161917,316.50647759584757,313.0847205361266,319.0382307634005,317.44093226792916,314.93941286312685
3,326.466741888362,327.1770045912572,320.56139582520694,322.21613724653605,322.06025811396546,323.49098770238675,318.448224271244,332.18396957454524,320.732723690977,316.3300316881457
4,330.4965825150131,326.4318426962989,326.38408726593065,324.5575770776198,321.8701296133255,318.8394238434163,316.6921649403517,323.1372197317659,320.610949222288,316.1944488423158
5,327.9811221960223,319.2978045630134,335.51150465161675,318.0593687113643,327.1099160725331,314.85029050949777,317.8449021755296,319.6002389691474,317.4197808100322,323.41644517814603
6,329.9071198243572,322.0240169293213,327.7633618067599,318.00908309818584,316.8561524673678,319.59166074176994,318.3892264414345,330.2029520713975,321.6191715687408,320.4328857022207
7,331.15048795812027,337.2096780633062,313.9413388935541,317.4642646070462,330.51717093784004,310.65586210442774,321.9361715275944,320.95886838111306,315.27597708172596,326.45830846115416
8,336.7975656084392,342.2195344643348,318.78599360648957,319.68939175208163,332.39912365117766,325.52702936750364,313.3982671727797,331.8518816411063,324.12080513163585,325.88149327481517
9,317.5474839433155,326.85573758179856,332.1148252038272,321.39318292847054,323.5395453302533,329.5458258505165,327.08321823611544,323.83660475844505,316.7555173042393,320.1520372507041
10,335.0062507155965,336.6780136558368,344.2180617674948,318.2114612523458,333.92048391387357,321.4423071232345,315.60964381851966,321.73081047349683,322.24720542779005,315.9846795252679
11,323.8891710591946,321.96883267173416,315.2252749723666,311.5922240176386,322.2331794696455,313.0163047666559,314.8385576210035,326.60019156258716,316.78694212490694,328.15705205414207
12,317.5007713786747,332.67373979395853,336.77755010264013,328.16117190987404,330.19166174835317,316.7399479913337,313.715753146162,328.4351370407485,325.04680585981765,322.0860357148409
13,321.9059730676586,330.303304450519,326.22237673140654,319.30079892489005,330.7310488339524,329.287829332158,317.63520728895287,321.61134692665985,316.5963811641232,314.45906473477356
14,326.2548184302339,327.85724771812454,313.76886875043016,316.52972199657626,327.7773960752167,314.34529624735,320.44869937199735,327.2011252269971,319.91555172805215,325.58873053305183
15,330.2221894121436,326.3180336197197,327.1683806112093,315.4828218209178,321.4246626300884,322.8923493276806,314.60927404884933,316.8882794058877,322.6038638743531,323.08791006468937
16,326.4086591898873,323.816028469278,329.1797215139987,319.89764000472485,321.3142198035514,321.4994636712484,325.97507250074216,331.39863861589595,323.6557502943219,322.2365724096677
17,329.55470145523975,325.66567475577517,324.86276384749465,329.48515654573714,321.3300226442323,322.39101665407725,318.4081782629264,323.6924197396224,316.54831920891064,318.3006965775708
18,323.1019838997565,328.2447565789458,321.93034746576484,324.11879027523935,321.7268251528535,316.48718461628954,320.8218084309921,321.4651592987996,320.08178672413885,315.8765762299613
19,333.6752626246914,327.58461202934996,326.799516479404,320.7379937447505,333.7331662847252,317.55804863851006,318.431302729319,335.0929404064251,320.7934166021424,316.5532457627347
20,324.408243959153,327.4484352276525,322.9364672642226,314.79220636170453,321.6106176076211,313.6567743037268,315.5322278897429,322.29519887757397,321.6970057086638,318.5421407140835
21,317.851727401007,316.62609450036973,322.81670735130115,317.97758668198696,319.32708033308177,322.38039701034694,325.4609989241776,324.4416788931444,314.25726677905357,315.48004169766534
22,316.0442382898418,315.3083874494628,314.0370118589887,314.47788797026544,317.7837795340998,315.16589993685477,312.35118955924185,315.58017449496185,311.8290828155524,314.96531673758113
23,321.58990933169105,334.88884973972836,332.9049525256132,324.1729731325949,332.37932625202905,321.83988068760056,318.33633155888054,325.7462628533767,320.8907359984614,321.1283026437221
24,324.4961573814396,317.4376560758208,330.4712322951097,317.1678572226924,320.5337844157002,317.0513061370738,315.85917354754633,324.7880732955995,316.74939554186227,320.5809099496056
25,327.1193891440521,328.4237269130135,323.11749813460244,311.98657610641374,318.82427896892625,320.5141217564935,323.10449146591037,322.49881325588456,315.10599957157314,312.8758645124325
