,tac_agent_0_wm,tac_agent_8,tac_agent_7,tac_agent_5,tac_agent_9,tac_agent_1_wm,tac_agent_2_wm,tac_agent_4_wm,tac_agent_3_wm,tac_agent_6
0,328.4897720398748,321.90227544440654,316.1002563039089,322.32760561207715,314.8837392910598,334.2228168359975,341.9619379788345,328.7158393043912,324.9620826578281,321.81788333189724
1,332.16971583904433,316.9087776178021,314.55441533347727,315.67850322609047,312.23946064478025,329.8253059215637,322.9248448125568,325.18722742162447,330.88961008919637,318.5453266644413
2,309.86122886681096,310.12413339818374,316.6322039668043,312.0678262654691,309.8905884411921,311.18870329816224,323.7597792306418,309.91714076605604,311.4819301920037,311.3672004865069
3,321.6078678654213,322.1463030762076,321.1707980009253,322.0351848790954,319.3804103231611,323.34859202338527,333.4458458178653,331.1925421622057,326.42252136639354,325.9589840981041
4,338.46413253118635,317.1288304079301,312.9638366004496,317.92170790817283,321.8055662542346,313.69908211518384,347.51302441696726,323.9711638655325,315.79428418131613,314.42306229456557
5,322.85583509271487,326.1104040784265,334.7487695960872,317.1889222562803,317.42704411202726,337.47858408003066,324.3541983522371,321.28750784407544,326.03365974585483,323.1625091616681
6,321.0008097675418,320.3418093128789,312.67770824499524,315.5585121106682,312.47658839734993,314.451993849579,317.1113232738085,316.01647629428817,318.487061537978,315.23055944401466
7,324.13291821715165,322.2899400190542,314.99013614469527,314.9110196831075,319.73802219196017,323.36134677473706,324.59401275969793,322.15071137980584,322.26399258705044,321.1297363100779
8,324.81511082689394,322.7642327021278,321.46379207545795,319.18111092648394,326.17533699379453,321.24897305400293,324.7500009773004,326.83736603566655,329.4272022089414,317.342045182229
9,337.971017975944,318.25093578310134,316.8367198729135,321.3761863867521,317.7136903085648,321.7956258413367,322.1839234202939,324.5224373689827,325.7160875402425,314.83734979979806
10,328.65194791971675,313.98121889884885,325.77561569053904,312.67427151357236,313.8909290591496,325.9291795336544,319.1826038026103,319.7657519891834,324.1215413107456,315.6896380521057
11,339.03566245605987,315.330850002802,319.65273699073373,314.896206323682,318.27256339590133,321.86426368907183,333.1684629125239,323.9723404392905,311.559547590594,320.64937823087655
12,337.7682635339047,327.9797187142875,320.04535094833795,330.2649181083663,319.13536152237,328.43292092332774,336.62967758297816,322.67283038605086,324.84317282646384,317.2689613989835
13,323.4721337888991,314.0005929177173,316.6553985163282,319.34259270046624,335.36369853765353,320.9080881106622,328.7432351309785,327.42130416708244,330.7385346505966,328.7348517663243
14,317.20548103760433,319.11032820164826,320.60563318121,323.28651466201984,322.18174011055385,329.11584416580024,326.5798790517201,318.7659793002357,320.0782977901968,316.08767634867917
15,328.021875318117,330.40682169262084,315.43302361535643,321.1859245866708,321.99681519819035,325.2820296180061,335.783050360108,320.33150976926663,328.1574715073385,328.15968359402615
16,329.02177790138654,321.5630206920442,319.5120092126342,316.74551566111654,325.6434359342475,321.9877578492209,321.1730629306447,322.752213976016,319.57482294871505,317.2717903804865
17,323.25178504860855,319.05540644402834,314.1658910459171,316.6917410563866,311.76064783361556,325.10150366665084,335.1034951571336,329.726232224427,322.45940180458217,317.85232020112244
18,318.5884687896133,315.695584377963,330.27456197413886,318.2882858874715,317.25875723017356,324.3965531338225,318.0092528234881,318.5940390434194,328.91064860556037,317.8049631361754
19,324.228703148652,318.02813077809134,317.3251489345219,321.05872421179237,312.9045560750659,325.40934200135905,317.9613805728743,323.5492786267075,313.8629663106891,320.4195002988824
20,318.4745231122804,323.9809872856903,323.2734214718073,323.95659284399585,320.8682379631714,329.3675131604501,318.1086030027758,315.82359269223883,325.17207920175315,318.5390283654075
21,318.7364228145606,319.60254184397473,313.6250866084682,315.2784728774418,314.2650788627822,329.8705368969023,329.12668609442153,332.0302991218402,319.8930555270161,312.9243912752654
22,328.32719997022923,316.8123137604633,323.59301509863474,315.4457870747212,323.91489250141706,320.1568476292871,330.46498576405656,329.98549137551225,320.4372957842575,317.0479782538055
23,325.1104809805548,320.94547091922163,324.4578094503313,317.5456504970359,323.34520712530275,322.1433189938217,330.54587097798895,323.53829573186164,318.7862880827395,322.4028938836234
24,328.224393581649,321.94343346624527,319.0849097142251,312.50908729224705,327.4700305515813,320.6210563157929,323.4634210421713,322.2920344541634,316.6871138740218,316.6757719536567
25,331.8378851356512,322.55852885987986,325.98476715366223,315.0336545186255,325.4926228465599,325.1007879303837,323.930920001341,329.8752106752419,322.9546461506857,313.27295027547456
26,318.7776715829381,324.2398019228539,319.76020951453916,321.1729198634737,318.07015749141266,325.4614134784132,329.98245707783315,325.89803447676377,322.32510695272026,321.7132027888697
27,325.9453582394875,324.05688607411054,314.82332041660413,318.09368045902033,315.2609534145576,329.1056627747471,319.778547398372,323.24135889095874,332.5632349033175,319.55150653822096
28,332.82832222610995,322.67521491455466,317.3703183253399,322.62684712159364,326.5182368198633,324.72099907997375,322.3469141633766,319.70746252643755,329.3730308198999,332.9907864464092
29,319.7982669409409,318.3056882840344,326.92748277321755,317.94723768235906,317.2667896854383,329.809532549486,317.54336525009194,318.4379653215146,327.24814906714425,321.4809384589224
30,322.42576728959614,317.4800407437811,313.91201289513873,315.6557170690742,315.4491262927978,325.0892424453734,326.7429411844301,318.1157788435919,321.3639749851556,314.0762310140916
31,329.928806585339,319.51166872951245,317.4317450520351,316.4855467929995,320.4672205799573,323.44298007136786,323.48000278084123,330.6656592821054,326.84969341760825,320.34361022772555
32,318.2332558507338,318.333516838424,324.4802801274348,320.27389722260557,314.764464618522,320.4220228931626,328.0278014332848,313.94176123898205,332.1327435200157,317.2042870336888
33,320.74509778783977,332.622839599745,322.8297658766017,319.191796841971,318.7329644163933,318.3168569294353,320.99820349336176,323.7375567099712,317.73782353138535,319.16284866403737
34,318.1705543900389,317.310384600955,322.80642461739365,320.20258820990864,319.30695999925706,317.53750013171145,322.01594295675886,325.9944439117718,320.70833347611335,318.62577947191915
35,327.2981101556859,316.494071220347,322.69798971814464,312.83471987874634,319.2137340536877,325.7531680768023,318.8615351882128,324.42238464041895,317.55365086328237,322.66382443294805
36,315.9038245696697,320.3149443158142,318.9362454766207,321.53914744746055,324.947702097031,322.08605440658414,324.38638418610174,323.418515738382,326.739256134058,319.91969307627977
37,318.8634346404,318.2530126005291,323.40864626238795,314.39393185514723,317.94609437094846,320.1269756336368,333.6118852858169,336.2188421790607,325.1660797229452,317.35738548075784
38,332.92879610556923,330.63146829582877,331.47284245895105,316.6853470183468,311.7216236780918,315.86607989465995,329.7629976762771,326.26348915047504,325.87981239620194,326.8348200549208
39,323.76338563132686,322.7470741594283,319.26125101868587,321.23802755515595,319.3063546140458,329.60656454352124,334.14951776415955,322.2239777191385,331.4816339941459,328.596579177765
40,326.5790675450195,316.9737934945085,324.32327876625374,323.6965271577035,316.09150646514297,325.22368275524855,337.0786968515732,322.81882911452885,328.0138870834893,316.4116933036331
41,328.96089970093,333.9231885408652,322.53281796447544,320.87637512666646,327.3946024490144,331.0274881502996,330.91112464136927,326.33226596087997,326.52433365117935,323.0795877729755
42,318.33728224113906,324.59630678094544,316.94180559958926,312.9635822190056,319.9178005198342,320.21356250724716,319.9482923123248,322.22639094502955,317.17456209226384,314.67758429807515
