,w_model,baseline
0,1.9699999999999998,2.3699999999999997
1,4.510000000000001,3.4799999999999995
2,2.0400000000000005,5.42
3,3.3100000000000005,4.49
4,3.3600000000000003,3.8600000000000003
5,2.5,4.1
6,1.52,2.0899999999999994
7,2.9200000000000004,5.930000000000001
8,3.74,2.8
9,3.5800000000000005,3.5699999999999994
10,3.5900000000000003,2.8199999999999994
11,4.0200000000000005,2.0899999999999994
12,2.3,4.8500000000000005
13,2.74,3.5699999999999994
14,2.5900000000000003,3.01
15,2.5600000000000005,3.3700000000000006
16,3.1200000000000006,3.4799999999999995
17,2.7800000000000002,2.6
18,3.1400000000000006,3.5699999999999994
19,2.4800000000000004,3.5199999999999996
20,2.6800000000000006,3.7099999999999995
21,3.49,2.5999999999999996
22,2.9,4.14
23,3.2,2.78
24,2.95,4.98
25,4.9,2.7100000000000004
26,2.72,3.5500000000000003
27,3.0800000000000005,3.8500000000000005
28,5.44,5.54
29,2.2,3.7900000000000005
30,5.54,3.5199999999999996
31,2.7800000000000002,2.6800000000000006
32,1.3,3.6700000000000004
33,2.9,4.819999999999999
34,3.4300000000000006,1.5
35,4.420000000000001,0.92
36,2.6500000000000004,4.07
37,3.22,4.0
38,4.7,4.3
39,2.6300000000000003,4.680000000000001
40,1.7,4.2
41,1.67,4.4799999999999995
42,3.5,4.04
43,2.49,5.659999999999999
44,3.0400000000000005,3.0100000000000002
45,3.6,4.04
46,2.9800000000000004,3.6
47,3.6500000000000004,3.03
48,2.3000000000000003,2.22
49,1.6199999999999999,0.92
50,2.5300000000000002,1.8299999999999998
51,3.7500000000000004,3.6400000000000006
52,5.95,0.9900000000000001
53,2.2700000000000005,1.6700000000000002
54,4.5,3.1200000000000006
55,3.9,2.3899999999999997
56,2.7900000000000005,3.0699999999999994
57,3.9800000000000004,6.58
58,4.37,0.43
59,2.7500000000000004,4.1
60,3.6800000000000006,2.28
61,1.3,2.6599999999999997
62,2.2900000000000005,2.9400000000000004
63,2.2,3.1899999999999995
64,4.2,3.1100000000000003
65,3.7,3.6100000000000003
66,2.9800000000000004,3.0400000000000005
67,5.0,4.76
68,3.9100000000000006,2.9300000000000006
69,4.670000000000001,2.8399999999999994
70,4.6,1.54
71,2.4,5.36
72,4.29,4.84
73,3.9,4.140000000000001
74,2.8900000000000006,4.069999999999999
75,1.4,2.7299999999999995
76,2.1400000000000006,2.7900000000000005
77,0.57,3.0699999999999994
78,2.5100000000000002,3.3499999999999996
79,1.8499999999999999,3.3
80,1.3,3.4
81,2.1,1.3800000000000001
82,5.71,4.199999999999999
83,3.5800000000000005,3.7299999999999995
84,4.800000000000001,2.4999999999999996
85,1.2,3.3499999999999996
86,1.91,3.0500000000000003
87,5.2,4.420000000000001
88,4.1,4.2
89,3.24,4.489999999999999
90,0.7,1.82
91,1.3,5.12
92,2.4300000000000006,2.1800000000000006
93,5.44,3.1700000000000004
94,2.3600000000000003,4.159999999999999
95,3.3,4.159999999999999
96,1.64,2.1799999999999997
97,4.07,3.1700000000000004
98,2.9000000000000004,1.22
99,3.0400000000000005,3.0999999999999996
100,3.5300000000000002,3.24
101,2.4200000000000004,4.03
102,5.03,2.74
103,1.6,1.8399999999999999
104,3.1900000000000004,3.5
105,3.74,2.8399999999999994
106,2.5900000000000003,3.0699999999999994
107,4.5,3.9399999999999995
108,2.5400000000000005,4.22
109,3.8400000000000003,0.36
110,4.970000000000001,3.0200000000000005
111,2.1,1.95
112,2.3000000000000003,1.8
113,4.550000000000001,3.9399999999999995
114,4.36,4.329999999999999
115,3.0900000000000003,2.5999999999999996
116,3.5000000000000004,0.46
117,4.28,3.3199999999999994
118,1.64,3.4199999999999995
119,6.3100000000000005,4.050000000000001
120,2.3000000000000003,0.26
121,1.3,2.9100000000000006
122,2.3800000000000003,4.25
123,4.15,2.4399999999999995
124,3.0,4.3
125,1.5699999999999998,1.81
126,2.5,3.74
127,2.8,1.6
128,1.7,3.4199999999999995
129,3.5,3.3199999999999994
130,1.8199999999999998,3.53
131,2.3,5.739999999999999
132,2.8200000000000003,0.18
133,3.4600000000000004,2.6499999999999995
134,4.08,5.0
135,1.3,6.65
136,4.420000000000001,0.6
137,2.5,3.6
138,4.78,3.6499999999999995
139,2.74,3.3499999999999996
140,3.7700000000000005,3.3899999999999997
141,3.5200000000000005,3.2299999999999995
142,2.0,4.199999999999999
143,2.4600000000000004,4.880000000000001
144,3.2,0.51
145,1.54,2.5
146,3.9400000000000004,4.659999999999999
147,4.220000000000001,4.1
148,2.7,3.7700000000000005
149,3.4,0.27
150,1.54,4.32
151,3.7600000000000002,4.74
152,2.2,5.8
153,5.090000000000001,2.3
154,3.1,0.9800000000000001
155,4.49,2.8700000000000006
156,4.390000000000001,3.3
157,2.7700000000000005,3.3
158,4.57,2.3800000000000003
159,2.1,3.2800000000000002
160,4.83,1.6
161,2.97,1.73
162,2.9,1.0699999999999998
163,2.2600000000000002,3.1100000000000003
164,4.550000000000001,3.8300000000000005
165,5.670000000000001,3.3
166,6.220000000000001,3.3600000000000003
167,2.4,2.6
168,3.0800000000000005,2.0199999999999996
169,4.380000000000001,2.4
170,3.7,4.5200000000000005
171,4.74,5.159999999999999
172,4.3,3.1199999999999997
173,4.7,1.1
174,4.0,3.9200000000000004
175,3.7500000000000004,5.159999999999999
176,2.9100000000000006,1.29
177,3.0600000000000005,1.8
178,3.3100000000000005,1.29
179,3.9700000000000006,1.94
180,3.6600000000000006,3.3799999999999994
181,2.5,5.0
182,5.99,2.7099999999999995
183,3.74,4.08
184,3.8600000000000003,0.66
185,2.6900000000000004,2.8399999999999994
186,4.890000000000001,4.380000000000001
187,2.1,3.5600000000000005
188,4.37,1.65
189,0.96,3.0599999999999996
190,3.1300000000000003,4.44
191,2.9,4.329999999999999
192,5.300000000000001,4.0
193,1.65,4.6000000000000005
194,4.21,3.1700000000000004
195,3.8,2.4
196,1.65,1.5
197,2.74,5.090000000000001
198,3.6500000000000004,4.550000000000001
199,3.5600000000000005,3.9300000000000006
200,1.8,3.7399999999999998
201,3.0500000000000003,2.2
202,1.6099999999999999,4.329999999999999
203,2.3500000000000005,4.71
204,2.0200000000000005,3.45
205,2.4,2.2
206,2.0,2.9
207,1.41,3.9300000000000006
208,3.5000000000000004,2.7100000000000004
209,1.72,1.24
210,2.6400000000000006,1.53
211,2.8400000000000003,0.75
212,1.0,1.4
213,1.23,3.6
214,2.2100000000000004,1.7
215,2.4600000000000004,4.819999999999999
216,1.7,1.6600000000000001
217,5.11,2.6500000000000004
218,2.0,2.3199999999999994
219,4.1,1.56
220,3.3,0.9400000000000001
221,3.1900000000000004,3.0699999999999994
222,4.0,4.29
223,3.1300000000000003,5.8100000000000005
224,3.9,3.0100000000000002
225,3.2100000000000004,3.8199999999999994
226,0.7699999999999999,1.56
227,4.0600000000000005,3.76
228,2.97,1.56
229,1.17,4.300000000000001
230,3.0400000000000005,3.1399999999999997
231,2.8,0.9400000000000001
232,3.3600000000000003,3.0699999999999994
233,4.300000000000001,1.5699999999999998
234,3.6700000000000004,0.68
235,3.7,3.5100000000000002
236,4.36,1.8
237,3.3000000000000003,0.37
238,2.97,4.840000000000001
239,2.8300000000000005,0.9
240,2.7,1.98
241,1.3699999999999999,2.26
242,1.8,4.2700000000000005
243,1.7,0.35
244,1.6,4.8100000000000005
245,6.140000000000001,1.4300000000000002
246,3.9400000000000004,2.3
247,3.5100000000000002,1.9100000000000001
248,4.7,2.7
249,1.73,4.74
250,4.5,1.9300000000000002
251,3.9100000000000006,5.029999999999999
252,3.3,1.9300000000000002
253,3.2,3.9200000000000004
254,3.4000000000000004,3.8
255,2.9400000000000004,3.0799999999999996
256,1.6,1.73
257,2.1900000000000004,4.140000000000001
258,1.69,2.3500000000000005
259,2.9800000000000004,0.8500000000000001
260,3.9400000000000004,3.78
261,5.21,2.1600000000000006
