,tac_agent_1_wm,tac_agent_2_wm,tac_agent_0_wm,tac_agent_5,tac_agent_3_wm,tac_agent_8,tac_agent_7,tac_agent_4_wm,tac_agent_6,tac_agent_9
0,313.4929524560199,298.613893423147,320.6770405615713,299.93181891114426,316.494279026988,301.3956161734459,315.1196403524109,318.8752853820123,308.1385718100726,312.4501236730546
1,315.031776982114,319.7351362410825,320.56644126885953,332.1869524928188,339.09684834115706,327.43794535628774,312.2440605807278,322.17578276554525,310.37850970169575,309.42865003823147
2,301.96111024963307,304.7343060683459,312.09971689456034,323.436722022117,317.2812424190905,306.277274469617,305.95556341268684,291.3806089587391,311.2806251466105,302.60749682936955
3,313.5670752551325,320.6720599369843,310.99006363418755,317.5353252242388,306.60865588489673,318.52060139221214,327.74137750378975,326.17712427481524,298.8759377407508,292.2083403880458
4,317.2960311720369,319.0142767376926,312.72343862102184,307.3557884557707,302.65000177944734,323.7307405281766,304.3808762203876,319.1796518650036,294.45435497906544,300.85628948634894
5,305.22266350902714,302.04810154623374,322.44883190465396,312.1865513445427,308.55354155737416,316.9521797600618,298.58892125141216,305.77411116103866,299.57920001225983,324.2952808880324
6,303.7554855151965,318.15585081438064,302.511331017229,310.6333578725889,295.94840635730617,308.3380043206755,307.8796668861026,316.23295207139745,314.19670987152034,307.35764212624736
7,317.8943459761892,322.77213050802715,296.12158606029874,304.47632660618154,306.02001260036457,297.5471784844979,313.3520422870107,311.48272024184416,314.42874130739267,307.07675177669466
8,331.3635539604802,328.04477605804857,304.32654399659293,299.367582640966,323.19624464252865,328.3842034166042,308.7007497541133,319.3911690424453,305.1258275612782,309.11384546248655
9,296.56168037527425,303.47277425282385,331.0556507194357,299.7519592271877,308.8615115751355,321.3563682564216,321.4315598509708,307.38047785565146,304.17527077333267,315.18435647218126
10,329.8954939154793,344.1765218431803,345.3418163453436,302.0849901511146,318.6410731115484,303.95419989334937,292.14950172833863,317.9615190676928,299.08018613006465,308.06982444183103
11,319.1210207446036,314.6057206458697,312.79068326015033,311.15823084807766,303.7808642179326,293.96220941183253,311.511880876954,328.1513259331286,313.902878122453,322.48025658737157
12,305.7299227238493,319.1641555520353,320.87890436963846,318.33384648300967,331.25247142310286,314.96237946079253,307.88645068317703,322.56205348290956,315.6422492602511,298.0412416676246
13,315.6910316707899,310.08062748109677,302.51984228426363,322.7767788083166,326.3941488258182,318.85641988600827,302.13860742485764,310.3915989646489,301.29107963266955,299.6814960363257
14,309.04469102704127,299.14583801217753,298.666762025023,302.8655915029994,319.7621697576168,309.669092857096,319.59373999592907,311.61388718392345,317.1318772168049,312.6147475926826
15,308.698415280469,302.9623978446043,315.0077945118685,298.241254665694,298.46606026762834,324.7454472331614,311.5919319303922,298.35963976741004,317.77968442283816,301.13520928045193
16,310.7722017933536,307.97459686437924,324.88286046728285,322.85900614191013,296.56235713748526,300.54441871190306,306.4993791818831,314.6639515302195,310.5784619691724,301.730287686972
17,306.35531664199345,292.784486491237,323.4718494730703,319.0862990442898,312.3628915029882,301.4791685944481,321.42200209404064,310.9108072959732,313.91310753431867,318.20099364833607
18,306.3123007787033,298.61612554208205,313.3666449541869,305.4410411583867,306.60145244265806,303.3529267260494,300.6651736255935,312.4165817204319,309.4730407624215,321.2113045317654
19,308.16972223073554,303.58099782567064,303.15920927007835,331.7015326182687,307.3314425225749,304.8732336819376,297.6242479587536,322.20980293982313,315.9257735846264,323.9016825696251
20,314.41197705937634,332.7405787287105,307.8919241220225,297.5474086156002,295.3548642559752,309.3520584622495,294.0787639152787,309.4659323428769,321.78383288507166,301.33884951727725
21,308.3011228110122,298.70535940612206,309.5291407643293,319.2465480131092,299.7108371357867,299.6086189061905,305.2485448122888,309.5211033332156,301.3211807523055,289.81075001284216
22,310.7103340356993,306.23463816025185,295.12232030157094,297.9721541583103,335.129608872036,315.08043419822457,302.59377424064394,311.3169986585706,309.0524428788237,326.4814492755436
23,307.95008024616266,326.2258656386791,317.3149525256132,305.62314485060415,331.19199765608596,324.8166672245011,308.4004762792882,302.2197369320603,318.7307359984614,306.66366953400575
24,316.7205719884023,309.8192491478065,311.3831615393433,302.32420303288376,311.20580574930005,303.59084613468383,295.28739295138894,319.2470560064337,304.5749928989242,289.1630592553654
25,330.3719885384507,320.03602217287795,299.7144565876913,288.66949504130304,300.2662741509358,316.63876678157214,301.4392572187828,307.3782687274881,298.15120989138103,293.87612554545206
26,294.7765076667482,321.55602269483217,306.6070510787562,326.7541385314882,308.36407988605254,325.0530437925237,314.99339603800615,307.7171906642936,342.23612917562053,333.7899195089737
27,306.4949692629689,302.51168383436925,308.64558966942894,326.4849364245556,305.60471831840255,304.30350572839666,305.43507789717785,311.2319158092778,327.17503263609615,307.08211487179767
28,300.85377265191,315.95874050077487,305.507018512136,310.37330762945925,307.66887736581157,302.4144489863137,313.2886517522106,313.6608598960232,301.80788377632814,318.4702027016573
29,314.68191404443803,299.69055118158417,335.4539684597869,317.9896547147476,331.21440350415776,321.31511953559493,320.1660512845701,311.54551485930335,312.61805692920973,313.4107798751595
30,302.2360187005213,323.2142557806948,304.1545161530721,313.8843721155814,330.4760302762031,316.8830407534134,336.2190766404293,308.57557753953176,320.4815690377985,318.24271298464413
31,310.16727138708757,300.90429363275865,300.1886330381724,318.94533343716387,307.4526558981929,313.807714653606,322.5771357757174,336.5187497798195,320.5302502115263,326.55111313852893
32,318.55623844260344,305.82271039840185,306.66929706850834,314.436137891131,296.9769415413311,329.2966829795693,313.85734665125466,299.75889026245216,331.8936799672723,315.97008016099426
33,313.1990184635133,312.62102907123915,306.2286023294042,335.60519974402075,297.80534193167307,311.13783507483583,302.63910005493784,314.6479431498469,311.7407681105616,307.28732027760094
34,321.62864976013634,300.7139534168857,337.2725923117354,331.13534160084356,315.29140997381387,304.7335639143105,328.73497483638477,314.5941068404751,324.85699420101093,306.840293822903
35,328.21277925963534,322.84033645970527,302.380634046839,300.41015758326944,318.8108310856286,303.90811918885163,318.7539482175421,343.0314601937166,302.8007793704162,320.8671128735192
36,343.26986587015995,309.13773629629645,313.65716848123395,312.54331072074854,311.2789674823489,308.61486269469106,302.0474329073328,304.35003839629405,302.74410379311223,321.27562125409713
37,338.0286807972528,308.2185078826614,325.6145640804778,323.5725222099229,305.1488006982531,318.8179171992531,314.5245703255313,305.79512835198466,321.11263225515756,305.8886065380495
38,311.1994106023075,299.52748933143494,309.9558648019473,308.11690588430275,307.90414212042594,321.9776663670566,313.90356213093423,308.6071273494057,328.1038641166848,328.61547550693126
39,305.1037883491432,306.5154930942592,295.69674740615267,321.2065802624942,319.43053936451287,296.85447791358797,293.40091699733944,299.5098264524231,319.6408554135962,333.1697292334178
40,296.0362429188197,339.43252585617165,326.45232020713877,312.8834197573483,297.07936123385446,308.05545135797024,306.1075128984428,306.840082033669,308.7808742563695,314.59063924557233
41,314.5490930751348,318.21402142157876,320.42899097272743,315.02806691568486,305.52234262326454,313.5801295407252,316.42284687207655,321.8188144595059,298.49324684494513,304.3165664707673
42,299.1968071318237,314.08173982633764,295.33266275218176,311.0138160790833,318.24638830747125,332.7929972657065,318.04844760157124,330.28660407607777,290.8932374448722,295.71501867372524
