,w_model,baseline
0,1.49,2.3299999999999996
1,0.8,4.319999999999999
2,0.6,2.8699999999999997
3,2.5500000000000003,2.9599999999999995
4,1.74,1.61
5,4.2,3.0199999999999996
6,2.8800000000000003,4.2299999999999995
7,2.9400000000000004,3.9
8,4.640000000000001,2.05
9,3.3200000000000003,2.8699999999999997
10,2.7500000000000004,3.6900000000000004
11,4.16,5.1000000000000005
12,3.3,4.800000000000001
13,3.7100000000000004,6.1
14,1.19,3.5699999999999994
15,3.7,4.0
16,4.670000000000001,1.6400000000000001
17,2.4100000000000006,2.0
18,2.3900000000000006,4.220000000000001
19,3.0000000000000004,1.82
20,3.6400000000000006,2.8699999999999997
21,2.3800000000000003,2.9
22,4.19,2.8699999999999997
23,3.99,2.8800000000000003
24,1.3,2.55
25,3.0900000000000003,3.9100000000000006
26,3.3700000000000006,4.79
27,3.5500000000000003,3.1000000000000005
28,2.6000000000000005,0.9800000000000001
29,3.7300000000000004,1.1
30,2.3100000000000005,4.4
31,2.4600000000000004,1.3599999999999999
32,2.0700000000000003,3.7399999999999998
33,1.78,5.71
34,3.4,3.5700000000000003
35,5.2700000000000005,4.04
36,2.4,3.3700000000000006
37,3.9100000000000006,2.6
38,2.3400000000000003,2.0
39,3.1200000000000006,4.3100000000000005
40,2.3,1.59
41,2.0,3.3099999999999996
42,3.0300000000000002,1.78
43,4.98,1.4000000000000001
44,3.1300000000000003,1.89
45,4.11,4.609999999999999
46,5.050000000000001,3.5100000000000002
47,2.9400000000000004,2.7
48,3.7600000000000002,3.8
49,4.29,1.4
50,3.0400000000000005,3.1700000000000004
51,4.78,4.95
52,5.16,2.7300000000000004
53,3.0600000000000005,3.0500000000000003
54,2.7,3.5
55,3.0000000000000004,2.0900000000000003
56,4.15,3.0300000000000002
57,3.3,4.06
58,4.2,2.4600000000000004
59,2.9100000000000006,3.6
60,2.1200000000000006,5.1
61,3.1600000000000006,2.8100000000000005
62,3.7,2.53
63,4.9,4.9399999999999995
64,1.0,1.9
65,4.62,4.300000000000001
66,1.8399999999999999,3.3
67,3.8500000000000005,2.5600000000000005
68,1.6,3.7199999999999998
69,3.3100000000000005,0.63
70,3.8100000000000005,1.1300000000000001
71,0.9,1.58
72,3.3,3.7199999999999998
73,4.74,2.9699999999999998
74,1.46,3.3100000000000005
75,1.76,3.9700000000000006
76,1.25,2.2
77,2.2500000000000004,2.6599999999999997
78,3.1500000000000004,2.3199999999999994
79,3.0600000000000005,2.8699999999999997
80,3.8,3.8900000000000006
81,4.37,3.3
82,4.670000000000001,3.5800000000000005
83,2.5900000000000003,1.6400000000000001
84,4.24,5.5
85,2.8700000000000006,1.24
86,3.7600000000000002,5.35
87,3.22,2.0600000000000005
88,3.7800000000000002,3.2100000000000004
89,3.45,0.5
90,5.1,4.46
91,3.5400000000000005,1.24
92,1.28,2.6
93,3.8,4.319999999999999
94,2.8200000000000003,3.2600000000000002
95,4.6,0.67
96,3.3,4.35
97,2.6000000000000005,2.3
98,3.0100000000000002,1.59
99,4.170000000000001,3.7399999999999998
100,2.6,4.130000000000001
101,2.8900000000000006,4.3
102,3.3000000000000003,3.0800000000000005
103,2.7,3.22
104,3.5,1.2
105,3.1,4.14
106,1.5,4.630000000000001
107,2.3,2.9599999999999995
108,3.6200000000000006,4.1
109,2.4600000000000004,3.3100000000000005
110,1.4,5.07
111,2.2900000000000005,3.9599999999999995
112,3.0,2.9699999999999998
113,3.1500000000000004,3.4799999999999995
114,2.7,3.8099999999999996
115,3.0,2.8999999999999995
116,1.8,2.7299999999999995
117,2.3900000000000006,1.9000000000000001
118,3.4600000000000004,4.1
119,2.0,2.8599999999999994
120,2.7,3.7600000000000002
121,3.9300000000000006,3.53
122,2.8800000000000003,2.9699999999999998
123,3.9,3.8199999999999994
124,4.930000000000001,4.88
125,2.3900000000000006,3.1400000000000006
126,2.6200000000000006,3.9999999999999996
127,4.79,2.26
128,2.6600000000000006,4.07
129,3.8600000000000003,3.5300000000000002
130,4.19,2.7499999999999996
131,2.4100000000000006,3.6200000000000006
132,0.45,1.8
133,3.0,3.4799999999999995
134,3.3,2.9
135,2.0,3.3300000000000005
136,3.2700000000000005,4.369999999999999
137,2.8,2.7099999999999995
138,4.0,4.89
139,2.7500000000000004,3.95
140,2.0800000000000005,4.04
141,3.6600000000000006,2.0
142,3.9200000000000004,4.7
143,3.9400000000000004,4.949999999999999
144,1.7,3.28
145,4.590000000000001,3.2099999999999995
146,2.7100000000000004,4.680000000000001
147,3.0300000000000002,3.9199999999999995
148,2.7700000000000005,1.3
149,1.91,3.0699999999999994
150,3.8000000000000003,0.32
151,2.7700000000000005,5.63
152,2.7,4.1899999999999995
153,4.260000000000001,2.6
154,3.7100000000000004,1.8
155,0.8799999999999999,2.01
156,3.2100000000000004,3.9800000000000004
157,4.62,2.3900000000000006
158,2.1100000000000003,4.13
159,3.0,4.4
160,3.5800000000000005,1.4
161,3.7100000000000004,5.55
162,4.41,3.4200000000000004
163,4.920000000000001,2.5
164,2.5500000000000003,2.7800000000000002
165,1.4,2.8400000000000003
166,3.8800000000000003,2.9499999999999997
167,4.71,2.9800000000000004
168,2.6300000000000003,0.41
169,2.2,0.7
170,3.4000000000000004,5.44
171,1.94,3.7
172,2.3200000000000003,0.9
173,2.7700000000000005,3.3299999999999996
174,4.380000000000001,3.2
175,3.6000000000000005,3.1499999999999995
176,3.4600000000000004,3.2699999999999996
177,3.47,3.6799999999999997
178,3.5500000000000003,1.1700000000000002
179,2.8,1.86
180,1.2,4.54
181,5.7700000000000005,2.5599999999999996
182,2.6900000000000004,1.86
183,2.5300000000000002,1.86
184,2.5100000000000002,3.4199999999999995
185,4.32,3.8499999999999996
186,2.7900000000000005,2.7199999999999998
187,2.0000000000000004,3.6499999999999995
188,3.6700000000000004,2.05
189,5.220000000000001,3.7299999999999995
190,3.4,3.5799999999999996
191,4.430000000000001,2.05
192,1.0,3.3499999999999996
193,2.7600000000000002,3.5
194,2.8600000000000003,3.3499999999999996
195,3.6000000000000005,3.8100000000000005
196,4.430000000000001,2.6799999999999997
197,2.5100000000000002,2.8
198,2.2300000000000004,0.6399999999999999
199,3.1900000000000004,1.1800000000000002
200,3.3400000000000003,0.7
201,2.1700000000000004,1.4
202,3.1700000000000004,4.61
203,3.3000000000000003,2.6
204,2.3000000000000003,3.6
205,4.11,4.4
206,1.7,3.4599999999999995
207,3.45,3.2399999999999998
208,1.3,2.3
209,3.3200000000000003,0.37
210,2.6600000000000006,2.2600000000000002
211,3.7700000000000005,5.16
212,2.4100000000000006,4.66
213,1.9,2.8
214,3.3200000000000003,5.1000000000000005
215,3.72,3.5900000000000003
216,6.71,2.7
217,3.0800000000000005,3.1999999999999997
218,2.6,3.9199999999999995
219,3.4600000000000004,3.03
220,3.6100000000000003,5.680000000000001
221,1.4,3.8
222,3.0100000000000002,3.9800000000000004
223,1.76,0.8600000000000001
224,2.3,5.430000000000001
225,4.800000000000001,3.8299999999999996
226,5.71,3.3899999999999997
227,0.7,3.8299999999999996
228,2.5,1.6
229,3.6,3.1299999999999994
230,2.0,3.3899999999999997
231,3.0500000000000003,1.99
232,3.6400000000000006,2.4999999999999996
233,4.180000000000001,3.1299999999999994
234,5.800000000000001,3.8299999999999996
235,0.9,1.6300000000000001
236,2.2,2.45
237,3.9700000000000006,3.72
238,2.6800000000000006,1.73
239,2.9100000000000006,1.89
240,4.010000000000001,0.7
241,4.62,4.07
242,4.4,1.73
243,0.5,3.4100000000000006
244,4.840000000000001,3.5500000000000003
245,3.1,3.3300000000000005
246,4.36,3.6299999999999994
247,3.8,4.130000000000001
248,3.0500000000000003,3.7100000000000004
249,3.7900000000000005,1.75
250,3.2300000000000004,4.779999999999999
251,2.0,3.6299999999999994
252,1.1,2.3499999999999996
253,1.7,3.6899999999999995
254,3.0100000000000002,3.1199999999999997
255,3.6,4.369999999999999
256,2.99,2.0799999999999996
257,3.7500000000000004,3.5999999999999996
258,4.340000000000001,3.1900000000000004
259,4.2,3.5999999999999996
260,1.68,0.9600000000000001
261,3.8,1.78
262,2.5,0.88
263,2.8500000000000005,2.9000000000000004
264,3.3200000000000003,3.2800000000000002
265,4.29,4.2700000000000005
266,3.3,3.6099999999999994
267,4.340000000000001,3.2
268,1.3,1.78
269,4.98,4.03
270,4.82,3.2700000000000005
271,2.1,4.13
272,3.5300000000000002,3.1299999999999994
273,3.4000000000000004,3.6099999999999994
274,4.2,3.9700000000000006
275,2.6200000000000006,2.5199999999999996
276,2.24,3.1
277,2.9800000000000004,2.9699999999999998
278,4.7,2.0899999999999994
279,3.96,2.0000000000000004
280,1.8,3.7
281,3.0500000000000003,5.3999999999999995
282,3.24,2.9199999999999995
283,2.7,5.15
284,4.46,1.3
285,2.6200000000000006,4.01
286,3.7,4.4399999999999995
287,2.5600000000000005,2.3899999999999997
288,3.3,4.33
289,5.04,4.340000000000001
290,2.9100000000000006,3.8299999999999996
291,2.4100000000000006,2.9199999999999995
292,2.49,3.6
293,3.0900000000000003,4.5
294,3.9800000000000004,2.4
295,2.3100000000000005,3.7100000000000004
296,1.43,2.9000000000000004
297,1.7,3.51
298,4.7,2.2
299,5.130000000000001,2.1
300,3.6600000000000006,3.1599999999999997
301,2.7,3.01
302,2.8400000000000003,2.3000000000000003
303,3.0700000000000003,1.83
304,2.3,3.4599999999999995
305,3.0100000000000002,3.51
306,5.57,4.069999999999999
307,1.52,4.0
308,4.0,3.96
309,3.8900000000000006,2.2399999999999998
310,3.2,3.1799999999999997
311,4.760000000000001,3.9899999999999998
312,5.03,4.01
313,3.6,3.03
314,3.8,3.2399999999999998
315,0.7899999999999999,4.069999999999999
316,3.1100000000000003,3.8899999999999997
317,5.090000000000001,2.78
318,3.5900000000000003,3.2399999999999998
319,3.8900000000000006,3.1099999999999994
320,3.3100000000000005,3.1799999999999997
321,4.130000000000001,0.9
322,3.7500000000000004,0.4
323,3.1200000000000006,5.39
324,2.8400000000000003,1.9
325,3.5600000000000005,5.98
326,4.16,3.7199999999999998
327,3.6700000000000004,2.4999999999999996
328,4.9,1.43
329,2.8,3.7800000000000002
330,3.8400000000000003,1.0
331,3.47,2.26
332,2.0,2.5600000000000005
333,2.5,6.590000000000001
334,1.2,2.3699999999999997
335,4.8,1.75
336,3.5700000000000003,3.76
337,2.8200000000000003,3.76
338,3.9000000000000004,1.3
339,5.07,3.24
340,4.36,2.6299999999999994
341,2.8,3.3199999999999994
342,2.9,3.4399999999999995
343,1.7,2.7900000000000005
344,4.010000000000001,4.16
345,3.0700000000000003,2.6299999999999994
346,4.15,3.76
347,3.7,3.3899999999999997
348,2.6,3.6
349,3.8500000000000005,5.930000000000001
350,2.5300000000000002,1.84
351,2.74,4.15
352,3.0500000000000003,1.37
353,0.8799999999999999,3.0800000000000005
354,1.49,1.21
355,2.1900000000000004,4.170000000000001
356,2.97,2.1
357,3.8800000000000003,3.6899999999999995
358,3.2,2.8900000000000006
359,3.8900000000000006,3.2899999999999996
360,4.5600000000000005,4.01
361,2.6,3.4800000000000004
362,1.24,1.07
363,3.6500000000000004,3.8699999999999997
364,3.8,5.53
365,3.2700000000000005,2.55
366,3.5300000000000002,1.4
367,1.17,3.7600000000000002
368,1.4,2.1
369,3.5400000000000005,3.5300000000000002
370,0.6,3.49
371,5.930000000000001,3.47
372,5.74,3.2
373,3.1400000000000006,3.6999999999999997
374,4.7,3.4799999999999995
375,5.0,2.76
376,0.9,4.75
377,1.6,3.5700000000000003
378,5.8100000000000005,1.5
379,3.99,5.199999999999999
380,4.0,3.3600000000000003
381,4.54,0.27
382,4.8,3.9299999999999997
383,6.45,2.3
384,1.8299999999999998,4.0
385,4.2,3.49
386,2.9,2.7199999999999998
387,1.28,3.9999999999999996
388,2.7300000000000004,0.9
389,2.1500000000000004,3.4899999999999998
390,4.2,2.8400000000000003
391,3.2,3.3600000000000003
392,1.8,2.4800000000000004
393,3.6000000000000005,2.9399999999999995
394,1.16,0.9600000000000001
395,3.0,2.4399999999999995
396,5.2700000000000005,2.4399999999999995
397,4.24,3.7800000000000002
398,2.3700000000000006,4.99
399,3.3,0.7
400,3.3800000000000003,0.9600000000000001
401,5.050000000000001,3.5699999999999994
402,2.8900000000000006,3.5799999999999996
403,2.8300000000000005,2.6
404,3.8800000000000003,4.5200000000000005
405,1.3,0.9600000000000001
406,2.3100000000000005,2.7
407,1.4,3.8699999999999997
408,2.1100000000000003,1.1300000000000001
409,3.8000000000000003,1.49
410,3.8700000000000006,2.9199999999999995
411,4.180000000000001,2.6799999999999997
412,3.3,1.01
413,2.2900000000000005,3.47
414,4.03,4.420000000000001
415,5.050000000000001,2.4800000000000004
416,1.98,2.7900000000000005
417,3.2,3.4699999999999998
418,2.7900000000000005,1.9
419,3.7,3.1
420,2.7900000000000005,2.6799999999999997
421,3.3700000000000006,3.4399999999999995
422,1.9,5.2
423,6.550000000000001,0.76
424,2.1,3.8299999999999996
425,4.79,1.74
426,3.9800000000000004,2.1599999999999997
427,2.2,3.0
