,tac_agent_0_wm,tac_agent_8,tac_agent_7,tac_agent_5,tac_agent_9,tac_agent_1_wm,tac_agent_2_wm,tac_agent_4_wm,tac_agent_3_wm,tac_agent_6
0,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865
1,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114
2,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205
3,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423
4,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514
5,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423
6,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454
7,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017
8,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042
9,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484
10,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135
11,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412
12,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345
13,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745
14,320.44262567261853,320.44262567261853,320.44262567261853,320.44262567261853,320.44262567261853,320.44262567261853,320.44262567261853,320.44262567261853,320.44262567261853,320.44262567261853
15,321.6565163786658,321.6565163786658,321.6565163786658,321.6565163786658,321.6565163786658,321.6565163786658,321.6565163786658,321.6565163786658,321.6565163786658,321.6565163786658
16,299.34231461659704,299.34231461659704,299.34231461659704,299.34231461659704,299.34231461659704,299.34231461659704,299.34231461659704,299.34231461659704,299.34231461659704,299.34231461659704
17,326.46340421166747,326.46340421166747,326.46340421166747,326.46340421166747,326.46340421166747,326.46340421166747,326.46340421166747,326.46340421166747,326.46340421166747,326.46340421166747
18,311.5564604397389,311.5564604397389,311.5564604397389,311.5564604397389,311.5564604397389,311.5564604397389,311.5564604397389,311.5564604397389,311.5564604397389,311.5564604397389
19,314.21981671228184,314.21981671228184,314.21981671228184,314.21981671228184,314.21981671228184,314.21981671228184,314.21981671228184,314.21981671228184,314.21981671228184,314.21981671228184
20,294.00500042023714,294.00500042023714,294.00500042023714,294.00500042023714,294.00500042023714,294.00500042023714,294.00500042023714,294.00500042023714,294.00500042023714,294.00500042023714
21,311.600817027571,311.600817027571,311.600817027571,311.600817027571,311.600817027571,311.600817027571,311.600817027571,311.600817027571,311.600817027571,311.600817027571
22,309.76729215757166,309.76729215757166,309.76729215757166,309.76729215757166,309.76729215757166,309.76729215757166,309.76729215757166,309.76729215757166,309.76729215757166,309.76729215757166
23,324.48486644661006,324.48486644661006,324.48486644661006,324.48486644661006,324.48486644661006,324.48486644661006,324.48486644661006,324.48486644661006,324.48486644661006,324.48486644661006
24,302.6583261375913,302.6583261375913,302.6583261375913,302.6583261375913,302.6583261375913,302.6583261375913,302.6583261375913,302.6583261375913,302.6583261375913,302.6583261375913
25,310.95104114554186,310.95104114554186,310.95104114554186,310.95104114554186,310.95104114554186,310.95104114554186,310.95104114554186,310.95104114554186,310.95104114554186,310.95104114554186
