,tac_agent_1_wm,tac_agent_2_wm,tac_agent_0_wm,tac_agent_5,tac_agent_3_wm,tac_agent_8,tac_agent_7,tac_agent_4_wm,tac_agent_6,tac_agent_9
0,312.4501236730546,312.4501236730546,312.4501236730546,312.4501236730546,312.4501236730546,312.4501236730546,312.4501236730546,312.4501236730546,312.4501236730546,312.4501236730546
1,310.37850970169575,310.37850970169575,310.37850970169575,310.37850970169575,310.37850970169575,310.37850970169575,310.37850970169575,310.37850970169575,310.37850970169575,310.37850970169575
2,305.95556341268684,305.95556341268684,305.95556341268684,305.95556341268684,305.95556341268684,305.95556341268684,305.95556341268684,305.95556341268684,305.95556341268684,305.95556341268684
3,318.52060139221214,318.52060139221214,318.52060139221214,318.52060139221214,318.52060139221214,318.52060139221214,318.52060139221214,318.52060139221214,318.52060139221214,318.52060139221214
4,304.3808762203876,304.3808762203876,304.3808762203876,304.3808762203876,304.3808762203876,304.3808762203876,304.3808762203876,304.3808762203876,304.3808762203876,304.3808762203876
5,305.77411116103866,305.77411116103866,305.77411116103866,305.77411116103866,305.77411116103866,305.77411116103866,305.77411116103866,305.77411116103866,305.77411116103866,305.77411116103866
6,318.15585081438064,318.15585081438064,318.15585081438064,318.15585081438064,318.15585081438064,318.15585081438064,318.15585081438064,318.15585081438064,318.15585081438064,318.15585081438064
7,297.5471784844979,297.5471784844979,297.5471784844979,297.5471784844979,297.5471784844979,297.5471784844979,297.5471784844979,297.5471784844979,297.5471784844979,297.5471784844979
8,299.367582640966,299.367582640966,299.367582640966,299.367582640966,299.367582640966,299.367582640966,299.367582640966,299.367582640966,299.367582640966,299.367582640966
9,307.38047785565146,307.38047785565146,307.38047785565146,307.38047785565146,307.38047785565146,307.38047785565146,307.38047785565146,307.38047785565146,307.38047785565146,307.38047785565146
10,317.9615190676928,317.9615190676928,317.9615190676928,317.9615190676928,317.9615190676928,317.9615190676928,317.9615190676928,317.9615190676928,317.9615190676928,317.9615190676928
11,311.511880876954,311.511880876954,311.511880876954,311.511880876954,311.511880876954,311.511880876954,311.511880876954,311.511880876954,311.511880876954,311.511880876954
12,322.56205348290956,322.56205348290956,322.56205348290956,322.56205348290956,322.56205348290956,322.56205348290956,322.56205348290956,322.56205348290956,322.56205348290956,322.56205348290956
13,299.6814960363257,299.6814960363257,299.6814960363257,299.6814960363257,299.6814960363257,299.6814960363257,299.6814960363257,299.6814960363257,299.6814960363257,299.6814960363257
14,309.04469102704127,309.04469102704127,309.04469102704127,309.04469102704127,309.04469102704127,309.04469102704127,309.04469102704127,309.04469102704127,309.04469102704127,309.04469102704127
15,308.698415280469,308.698415280469,308.698415280469,308.698415280469,308.698415280469,308.698415280469,308.698415280469,308.698415280469,308.698415280469,308.698415280469
16,301.730287686972,301.730287686972,301.730287686972,301.730287686972,301.730287686972,301.730287686972,301.730287686972,301.730287686972,301.730287686972,301.730287686972
17,318.20099364833607,318.20099364833607,318.20099364833607,318.20099364833607,318.20099364833607,318.20099364833607,318.20099364833607,318.20099364833607,318.20099364833607,318.20099364833607
18,309.4730407624215,309.4730407624215,309.4730407624215,309.4730407624215,309.4730407624215,309.4730407624215,309.4730407624215,309.4730407624215,309.4730407624215,309.4730407624215
19,307.3314425225749,307.3314425225749,307.3314425225749,307.3314425225749,307.3314425225749,307.3314425225749,307.3314425225749,307.3314425225749,307.3314425225749,307.3314425225749
20,309.4659323428769,309.4659323428769,309.4659323428769,309.4659323428769,309.4659323428769,309.4659323428769,309.4659323428769,309.4659323428769,309.4659323428769,309.4659323428769
21,301.3211807523055,301.3211807523055,301.3211807523055,301.3211807523055,301.3211807523055,301.3211807523055,301.3211807523055,301.3211807523055,301.3211807523055,301.3211807523055
22,306.23463816025185,306.23463816025185,306.23463816025185,306.23463816025185,306.23463816025185,306.23463816025185,306.23463816025185,306.23463816025185,306.23463816025185,306.23463816025185
23,318.7307359984614,318.7307359984614,318.7307359984614,318.7307359984614,318.7307359984614,318.7307359984614,318.7307359984614,318.7307359984614,318.7307359984614,318.7307359984614
24,311.20580574930005,311.20580574930005,311.20580574930005,311.20580574930005,311.20580574930005,311.20580574930005,311.20580574930005,311.20580574930005,311.20580574930005,311.20580574930005
25,320.03602217287795,320.03602217287795,320.03602217287795,320.03602217287795,320.03602217287795,320.03602217287795,320.03602217287795,320.03602217287795,320.03602217287795,320.03602217287795
26,314.99339603800615,314.99339603800615,314.99339603800615,314.99339603800615,314.99339603800615,314.99339603800615,314.99339603800615,314.99339603800615,314.99339603800615,314.99339603800615
27,308.64558966942894,308.64558966942894,308.64558966942894,308.64558966942894,308.64558966942894,308.64558966942894,308.64558966942894,308.64558966942894,308.64558966942894,308.64558966942894
28,302.4144489863137,302.4144489863137,302.4144489863137,302.4144489863137,302.4144489863137,302.4144489863137,302.4144489863137,302.4144489863137,302.4144489863137,302.4144489863137
29,321.31511953559493,321.31511953559493,321.31511953559493,321.31511953559493,321.31511953559493,321.31511953559493,321.31511953559493,321.31511953559493,321.31511953559493,321.31511953559493
30,308.57557753953176,308.57557753953176,308.57557753953176,308.57557753953176,308.57557753953176,308.57557753953176,308.57557753953176,308.57557753953176,308.57557753953176,308.57557753953176
31,313.807714653606,313.807714653606,313.807714653606,313.807714653606,313.807714653606,313.807714653606,313.807714653606,313.807714653606,313.807714653606,313.807714653606
32,329.2966829795693,329.2966829795693,329.2966829795693,329.2966829795693,329.2966829795693,329.2966829795693,329.2966829795693,329.2966829795693,329.2966829795693,329.2966829795693
33,302.63910005493784,302.63910005493784,302.63910005493784,302.63910005493784,302.63910005493784,302.63910005493784,302.63910005493784,302.63910005493784,302.63910005493784,302.63910005493784
