,tac_agent_5,tac_agent_0,tac_agent_2,tac_agent_3,tac_agent_9,tac_agent_7,tac_agent_1,tac_agent_6,tac_agent_4,tac_agent_8
0,328.22393699020733,331.93456022281646,326.2767539028284,317.8276056120771,320.5594903214425,317.31659650751925,324.38508026019946,326.0498856240499,332.7220826578282,327.58528793583093
1,326.51801901454996,316.99139331316314,319.75395010134037,326.8596100891964,329.16228924024944,317.71971583904434,313.2899283622872,317.5422512427207,316.6136420966718,334.42532666444123
2,327.17234882118584,336.5041361708404,320.5495158478378,320.0356901125265,316.37669049841185,321.9893178894599,332.42081719644324,319.6747738147973,316.7362369571918,323.7550826825227
3,326.1949751421947,317.51192820838037,323.8919409897653,331.97085217516985,344.1400148037919,320.06434987530463,314.8765522787447,326.51008773519163,317.8114450097206,324.8525213663935
4,330.67081104992445,316.13908211518384,319.0238366004496,318.259690982704,322.2727278318605,335.343284818292,328.5337919899004,316.9130622945655,317.66556625423453,319.7472913508373
5,326.6658350927149,326.32928518166915,327.3104878942693,322.6025091616681,326.25441351304755,319.194408937488,321.595824919107,326.46892225628034,323.66594567810483,330.84087744398994
6,318.3077193646327,312.4139927576242,320.69889061841525,324.2191679513744,318.63438326001915,321.0928806804336,322.20297432593577,319.0706061895978,315.47973745153297,313.4714353342319
7,325.9159209941267,321.18833136521795,319.55887707741675,317.3702435772578,319.68796357664814,323.3746527532543,327.9367738231262,327.29446340550913,319.8802390756989,335.5358479902585
8,332.89808158570315,317.5939422753457,321.65191207828906,318.8693463824494,332.1987533898887,332.1532595326635,319.70774974600533,319.22826086594273,331.91542666109245,324.25063209631435
9,321.8893782620689,324.50498760925433,321.0852454596531,322.4654350030371,322.31231657967624,319.13851717319824,321.39419435904966,323.3912482610234,326.57711627354655,326.64869892848685
10,327.16399888654183,320.0220405656372,334.3091120304791,318.96297719111953,315.8810602334868,324.72048436690227,318.21704194686083,320.30051299557,324.52621742597745,330.5701229805155
11,333.76314615334337,332.06226104900566,317.92004492273395,326.6332606137567,320.9407507038855,318.183492155882,327.1837310829675,328.20762871667614,315.9225569652086,321.3748125259778
12,320.8467448772142,330.1004200394803,331.0076712378675,339.9848704278669,338.7537045594662,327.4695318560818,321.849037130078,328.8459032174515,317.1249607163594,315.9453509483379
13,328.4483567638678,324.94311103525274,329.0914628985654,322.9376726320063,324.43290727126896,316.1175435554363,325.53252563206416,326.9353985163282,328.8525041266083,318.6118792557792
