,tac_agent_5,tac_agent_0,tac_agent_2,tac_agent_3,tac_agent_9,tac_agent_7,tac_agent_1,tac_agent_6,tac_agent_4,tac_agent_8
0,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865,302.39681793272865
1,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114,310.5943356984114
2,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205,308.95530585564205
3,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423,304.1923228844423
4,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514,309.8650209734514
5,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423,320.50645326326423
6,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454,308.48510035859454
7,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017,319.169648745017
8,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042,298.0492319663042
9,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484,305.8355922034484
10,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135,309.03192796030135
11,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412,296.5626602218412
12,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345,312.0733322573345
13,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745,305.66760988286745
