,tac_agent_0_wm,tac_agent_8,tac_agent_7,tac_agent_5,tac_agent_9,tac_agent_1_wm,tac_agent_2_wm,tac_agent_4_wm,tac_agent_3_wm,tac_agent_6
0,318.7397720398748,295.83929843864973,320.7427804603907,307.1333720148447,305.1374826890361,318.39712255424564,337.6679158992158,318.40347123672086,317.27160382790464,302.39681793272865
1,315.69301531022074,296.2594422124154,287.99014990654746,298.25760703418763,303.44089077547403,323.56621797278143,308.7288903927805,310.5943356984114,325.29812710645575,317.3601186368718
2,310.6643926107886,314.51718204501464,296.68265012969783,302.9475565345649,310.21915318675315,308.95530585564205,331.9714720153677,331.06272793751776,309.1902587172969,311.45943600145637
3,296.50636471821974,303.9962624183405,310.0438460568081,337.06086852598014,302.5123315746043,304.1923228844423,327.384884828309,307.77903220092526,314.38924965414117,325.629542221927
4,321.33970202823684,306.09868807486544,300.5285972892709,308.7751615074003,309.8650209734514,290.86526141830603,333.25714558437096,313.00337537840085,297.27961371233516,316.27577597371004
5,303.87906220878494,302.86653768892916,325.40889031556355,314.18964552355266,304.27966047689154,318.1921564883611,321.6797522392862,320.50645326326423,320.66743124551806,319.39093119009317
6,315.46561543406267,301.8654654111449,301.1210152914486,301.6941068643929,288.8378327807698,304.43870802805185,317.38114241418975,299.48005681472046,300.6751641741533,308.48510035859454
7,300.83118462535674,312.08729782076205,300.0645636690409,307.59088570901974,320.879355560223,311.4508853390361,311.9666094563891,309.80598110365145,319.169648745017,304.03528536080063
8,319.7587586153562,307.4899730719735,314.56352724198155,317.158498169386,316.38162590941386,306.16166284376175,314.01131489892225,326.7216502567838,319.922045528357,298.0492319663042
9,321.7087917899988,313.26108937116715,305.8355922034484,294.517887571204,310.9678838848,306.69585247768043,318.40791823451366,304.0202254892381,324.84231657967626,304.9749531953039
10,322.81168953081124,309.03192796030135,321.23979055742495,307.21922774101324,323.4058951473893,298.38971183032993,308.0035182364125,294.24995598356384,314.62949548237526,302.8674478956507
11,327.3528844220263,311.7110948397918,319.6394165388766,296.5626602218412,307.52690115985627,324.7092245463879,318.61450665698897,312.6241434972311,299.6400466446959,301.16083095592836
12,330.53301407144306,319.4217390932809,304.8796919050982,312.0733322573345,305.60177326655094,321.63959888055894,332.9052417938067,297.732544834504,311.34546302082276,325.5585155355489
13,314.23525020984493,306.45828000561363,321.5652725149407,305.66760988286745,318.9481838892289,306.598074546847,307.5622693152239,326.31218890172227,299.1379136189542,325.54662516547603
14,296.7720587169313,323.5879272356114,319.0093642278947,320.44262567261853,306.8848692365077,308.1269149389059,317.3977832415824,314.39451139708444,314.08947961871564,306.43679705945715
15,308.626651220648,326.8414113761333,300.5435443155524,321.6565163786658,298.38301997464225,319.1891617874448,320.64759780753457,300.84412735982096,326.75176221823034,333.2331366896752
16,317.59203527848155,321.1987412110388,313.7777260688439,307.63955695202606,311.6189333630158,300.23262776859355,290.56381775307403,308.9744612799303,299.34231461659704,318.5217930233165
17,314.7938539721658,308.44582022871026,317.15154677204464,314.9125930140932,323.181698599971,326.46340421166747,320.6913279148839,311.6081636006303,308.17681002807547,312.7278058420568
18,314.4723326664812,302.2261929739451,310.3712992217779,297.5033481854202,308.20149079776206,323.37681431019564,311.5564604397389,294.4654416960136,307.25727772642676,318.0670674266951
19,322.1803541143555,307.79001481436865,292.12859181082956,309.9341410526681,292.83790747400184,310.9969972886987,302.1726374710911,314.21981671228184,295.34307848354166,317.9479534059085
20,297.23468648894914,306.2262142553527,331.4207223715698,314.04155867052157,320.6816887515748,309.35573195110254,294.00500042023714,293.1246710875876,313.51504301707337,326.08181578060936
21,307.860631228883,311.2676796978655,296.6313633527077,311.600817027571,305.96953076291675,329.10324152240355,302.42504727681717,311.44641765715505,309.4446707719365,305.59790326022005
22,311.63629575478996,318.62861882279805,309.76729215757166,308.9497022629337,322.8526598144241,305.0555583433347,311.8180185698999,313.74102064535043,308.6598779958673,318.8893029669656
23,307.00710448936184,300.2033930056224,305.7875193060985,318.5491221751538,315.38972220430674,309.1845256197255,324.48486644661006,319.5707772389517,297.91625220866354,319.99190852025026
24,316.69041159753897,325.7150009203277,310.17849577060247,300.2285650918676,313.54155566019654,310.4800433792806,314.07898931673753,311.90779813079155,302.91039603593424,302.6583261375913
25,308.9334798738855,310.95104114554186,327.8641911736566,310.90835916023326,321.1708757453909,324.11114775786893,306.74274067268897,315.1220125744627,301.1958466107094,303.1029239888482
26,295.16875918393407,318.2621010482659,321.3843282785175,317.34010950026595,311.1285567264785,301.9597207606795,315.7575828875081,309.50177699015455,314.1185344907641,321.97163071801765
27,314.53826804954326,331.3064333810472,308.36693821896,302.03928271560534,296.96592518781154,306.6107694683979,310.4790962553818,313.2242351103454,323.54108028232537,321.10691792363275
28,324.29020060367753,319.80493287661966,302.05005982323155,314.5401053323959,337.35974809933776,295.6853665471971,302.8672467808542,313.6291166684173,313.57218611203825,338.7250732917978
29,308.4446090199725,310.1057711675753,305.37213420854187,315.75555341036204,297.86919491027135,320.0806120175829,304.8284552470644,303.2443671651724,299.1050291101337,304.9298215240915
30,308.24307946625765,295.78881676481075,313.2501209812551,296.87808862629805,296.66057522347023,316.701545726586,298.35062774311336,311.2194116476923,317.19708250809487,314.18770381896286
31,319.9346668953374,309.8589208257256,321.75580514779426,320.85101261461625,316.96167918479665,308.02683986497516,301.65581964736225,326.85396860153696,301.4555403875913,307.73726401349984
32,312.2807237440134,312.94410245780404,292.14400844862473,300.8149014585787,297.92833239794277,305.8425214415781,322.097182517478,294.33702241976346,320.207514784316,307.9673372416398
33,301.8018318750459,319.6279192470937,328.48183687420067,319.15532555271034,308.30239516336013,293.3144559839464,302.490061817272,302.1151286201245,296.3105218733238,305.0500289785356
34,305.15274552144865,314.06301507693695,329.00542048052046,317.6476214128087,310.91106916555583,314.4676873954725,309.2960112264333,308.9321977318199,311.61730109631395,308.3287240940319
35,308.58938980772746,320.8844281745747,319.1741989607121,302.3685102977775,305.4560496841941,308.8468894337975,311.46261439720433,301.4586136594427,300.1087105157764,303.19201299324527
36,299.41141073556537,307.0950674088192,314.7255131830157,312.980191550875,325.63980989212683,298.3572407855837,314.6119515688048,306.7279250118073,311.8020382518479,332.812668566351
37,298.90659243373653,316.13597175151614,307.3814336875395,304.2781924907081,319.07311615718737,319.0329585762422,329.5107791837617,335.6960315505528,307.5156384619246,309.0039119172521
38,339.0580904674058,308.2914081428246,343.11098599794593,328.1228791870356,305.7691884656197,302.3889525987797,319.74495767493886,317.21173346738766,293.0600148328368,318.02747262417256
39,315.0343328411478,319.7532878464761,344.2917929939587,320.89049211878205,330.379777950636,302.7072462101936,328.6995177641595,312.3681861825667,295.4218108215234,311.53744286511755
40,301.77024821109467,292.8217403010128,315.06638527320104,313.35373266429895,308.6043167509212,310.7412401776521,313.2413239848239,326.99627353701396,322.53805462078594,324.4939586647126
41,326.30711678157456,337.1216606722461,313.93086819788425,309.9000941899014,340.43208620940334,312.0841103341545,302.77702974843385,315.9523559108642,329.99542131220664,317.4376735550418
42,293.6729425150436,330.1306105683941,312.9341516534302,304.40746351778773,308.25633662939384,305.8187933727383,307.63765002150285,315.71234115420856,296.3574147423343,300.2316047560798
43,320.2695298529417,311.2643113928226,302.81322508102016,319.7508151059012,304.4869167528004,317.1187388868293,300.07807688667475,316.99975898348123,323.8617888483694,303.87362222373315
44,299.72555856431626,303.03541441394333,300.378827314,297.69678251148196,312.8265298875585,322.0215717374633,320.60980434571206,314.66226083681937,327.7092233382837,308.8303762769209
45,308.40081093544245,327.9551364544956,312.57422414590104,293.53969391234097,334.62673084430264,308.04234608095607,330.24689053722625,318.1318472232239,298.4353754561927,309.16503776446365
46,315.3329584007565,316.28694009176644,316.4076245098371,303.2147156488086,306.1735686179754,296.7736260563766,322.64511506529186,308.8649595537952,307.67711332272563,320.92518785035384
47,303.99881921968756,298.77441863323946,301.3536588434539,302.70717342558385,324.80731090535073,297.141423657104,305.49255771678907,318.0997045711539,317.30390854409046,306.4433122457599
48,303.06384565794195,326.61881167924724,299.9915417625349,294.89253897542227,290.36548504675443,298.72769598370814,309.9046673190498,307.1807464639246,301.49331103495376,315.412949950713
49,310.0805200524217,311.62313255379473,302.5971455826682,310.02749086533214,306.8452113496398,311.80102399034695,302.59520798497107,301.2364165588475,295.8692842198023,295.35582728620227
50,310.6853132300574,304.82640909623876,301.6131293448635,315.4792243300691,298.79676482052463,309.71958360731185,296.42288384374893,298.1970787334216,300.18238934042705,302.74446725184276
51,311.4316989059424,307.076274108153,300.3314530722404,308.15840937863123,306.0336649845739,321.708851443267,308.43068017290113,309.62604277014145,316.5889822114465,320.80935012105556
52,309.3836103228334,320.7902487521009,315.91073258092666,327.03151663150504,313.518735959387,306.39820771804386,302.7926019048043,322.53730049248077,311.3109975682514,310.17673330508984
53,346.10357572534485,313.00134384918624,306.51731649948744,310.0835536322727,313.0210806351006,315.06911456095776,311.0455541237727,315.09654133656454,310.5240915431782,310.6459686619472
54,300.17787087163833,313.13004170202186,309.771385862089,300.27558454440293,311.932359920678,297.6596974984605,296.11566805378845,316.80553424420464,306.5911537339738,296.8094706745436
55,310.70535172315147,295.7934734819516,302.13857544806035,301.12237847622214,316.64411760424576,315.20122169991987,314.3872564619484,288.3950196786584,307.31326858570725,308.4515360127219
56,321.8044616819126,285.9641133330444,306.6620163991026,308.6815215511132,303.8988462809763,307.68047121939117,307.02267849682084,315.2809254883714,311.4906977542692,291.6991618184244
57,300.9446219810229,311.1280483685101,310.80517307487867,341.7774903082299,313.47410019330823,310.7762414889837,296.3008051457744,315.55229778383654,318.9221927032178,317.5120591371341
58,299.2771398210815,317.08239015313416,307.5945394732826,321.2289094614972,307.51841813482235,312.1506369029269,314.167157525278,324.08863239088237,303.9097682830542,302.0377449694996
